index,movieId,title,genre
1,1,Toy Story (1995),Animation|Children's|Comedy
2,2,Jumanji (1995),Adventure|Children's|Fantasy
3,3,Grumpier Old Men (1995),Comedy|Romance
4,4,Waiting to Exhale (1995),Comedy|Drama
5,5,Father of the Bride Part II (1995),Comedy
6,6,Heat (1995),Action|Crime|Thriller
7,7,Sabrina (1995),Comedy|Romance
8,8,Tom and Huck (1995),Adventure|Children's
9,9,Sudden Death (1995),Action
10,10,GoldenEye (1995),Action|Adventure|Thriller
11,11,"American President, The (1995)",Comedy|Drama|Romance
12,12,Dracula,
13,13,Balto (1995),Animation|Children's
14,14,Nixon (1995),Drama
15,15,Cutthroat Island (1995),Action|Adventure|Romance
16,16,Casino (1995),Drama|Thriller
17,17,Sense and Sensibility (1995),Drama|Romance
18,18,Four Rooms (1995),Thriller
19,19,Ace Ventura,
20,20,Money Train (1995),Action
21,21,Get Shorty (1995),Action|Comedy|Drama
22,22,Copycat (1995),Crime|Drama|Thriller
23,23,Assassins (1995),Thriller
24,24,Powder (1995),Drama|Sci-Fi
25,25,Leaving Las Vegas (1995),Drama|Romance
26,26,Othello (1995),Drama
27,27,Now and Then (1995),Drama
28,28,Persuasion (1995),Romance
29,29,"City of Lost Children, The (1995)",Adventure|Sci-Fi
30,30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
31,31,Dangerous Minds (1995),Drama
32,32,Twelve Monkeys (1995),Drama|Sci-Fi
33,33,Wings of Courage (1995),Adventure|Romance
34,34,Babe (1995),Children's|Comedy|Drama
35,35,Carrington (1995),Drama|Romance
36,36,Dead Man Walking (1995),Drama
37,37,Across the Sea of Time (1995),Documentary
38,38,It Takes Two (1995),Comedy
39,39,Clueless (1995),Comedy|Romance
40,40,"Cry, the Beloved Country (1995)",Drama
41,41,Richard III (1995),Drama|War
42,42,Dead Presidents (1995),Action|Crime|Drama
43,43,Restoration (1995),Drama
44,44,Mortal Kombat (1995),Action|Adventure
45,45,To Die For (1995),Comedy|Drama
46,46,How to Make an American Quilt (1995),Drama|Romance
47,47,Seven (Se7en) (1995),Crime|Thriller
48,48,Pocahontas (1995),Animation|Children's|Musical|Romance
49,49,When Night Is Falling (1995),Drama|Romance
50,50,"Usual Suspects, The (1995)",Crime|Thriller
51,51,Guardian Angel (1994),Action|Drama|Thriller
52,52,Mighty Aphrodite (1995),Comedy
53,53,Lamerica (1994),Drama
54,54,"Big Green, The (1995)",Children's|Comedy
55,55,Georgia (1995),Drama
56,56,Kids of the Round Table (1995),Adventure|Children's|Fantasy
57,57,Home for the Holidays (1995),Drama
58,58,"Postino, Il (The Postman) (1994)",Drama|Romance
59,59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery
60,60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy
61,61,Eye for an Eye (1996),Drama|Thriller
62,62,Mr. Holland's Opus (1995),Drama
63,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy
64,64,Two if by Sea (1996),Comedy|Romance
65,65,Bio-Dome (1996),Comedy
66,66,Lawnmower Man 2,
67,67,Two Bits (1995),Drama
68,68,French Twist (Gazon maudit) (1995),Comedy|Romance
69,69,Friday (1995),Comedy
70,70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller
71,71,Fair Game (1995),Action
72,72,Kicking and Screaming (1995),Comedy|Drama
73,73,"Misérables, Les (1995)",Drama|Musical
74,74,Bed of Roses (1996),Drama|Romance
75,75,Big Bully (1996),Comedy|Drama
76,76,Screamers (1995),Sci-Fi|Thriller
77,77,Nico Icon (1995),Documentary
78,78,"Crossing Guard, The (1995)",Drama
79,79,"Juror, The (1996)",Drama|Thriller
80,80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama
81,81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance
82,82,Antonia's Line (Antonia) (1995),Drama
83,83,Once Upon a Time... When We Were Colored (1995),Drama
84,84,Last Summer in the Hamptons (1995),Comedy|Drama
85,85,Angels and Insects (1995),Drama|Romance
86,86,White Squall (1996),Adventure|Drama
87,87,Dunston Checks In (1996),Children's|Comedy
88,88,Black Sheep (1996),Comedy
89,89,Nick of Time (1995),Action|Thriller
90,90,"Journey of August King, The (1995)",Drama
91,92,Mary Reilly (1996),Drama|Thriller
92,93,Vampire in Brooklyn (1995),Comedy|Romance
93,94,Beautiful Girls (1996),Drama
94,95,Broken Arrow (1996),Action|Thriller
95,96,In the Bleak Midwinter (1995),Comedy
96,97,"Hate (Haine, La) (1995)",Drama
97,98,Shopping (1994),Action|Thriller
98,99,Heidi Fleiss,
99,100,City Hall (1996),Drama|Thriller
100,101,Bottle Rocket (1996),Comedy
101,102,Mr. Wrong (1996),Comedy
102,103,Unforgettable (1996),Thriller
103,104,Happy Gilmore (1996),Comedy
104,105,"Bridges of Madison County, The (1995)",Drama|Romance
105,106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama
106,107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical
107,108,Catwalk (1995),Documentary
108,109,Headless Body in Topless Bar (1995),Comedy
109,110,Braveheart (1995),Action|Drama|War
110,111,Taxi Driver (1976),Drama|Thriller
111,112,Rumble in the Bronx (1995),Action|Adventure|Crime
112,113,Before and After (1996),Drama|Mystery
113,114,Margaret's Museum (1995),Drama
114,115,Happiness Is in the Field (1995),Comedy
115,116,Anne Frank Remembered (1995),Documentary
116,117,"Young Poisoner's Handbook, The (1995)",Crime
117,118,If Lucy Fell (1996),Comedy|Romance
118,119,"Steal Big, Steal Little (1995)",Comedy
119,120,Race the Sun (1996),Drama
120,121,"Boys of St. Vincent, The (1993)",Drama
121,122,Boomerang (1992),Comedy|Romance
122,123,Chungking Express (1994),Drama|Mystery|Romance
123,124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama
124,125,Flirting With Disaster (1996),Comedy
125,126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy
126,127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama
127,128,Jupiter's Wife (1994),Documentary
128,129,Pie in the Sky (1995),Comedy|Romance
129,130,Angela (1995),Drama
130,131,Frankie Starlight (1995),Drama|Romance
131,132,Jade (1995),Thriller
132,133,Nueba Yol (1995),Comedy|Drama
133,134,Sonic Outlaws (1995),Documentary
134,135,Down Periscope (1996),Comedy
135,136,From the Journals of Jean Seberg (1995),Documentary
136,137,Man of the Year (1995),Documentary
137,138,"Neon Bible, The (1995)",Drama
138,139,Target (1995),Action|Drama
139,140,Up Close and Personal (1996),Drama|Romance
140,141,"Birdcage, The (1996)",Comedy
141,142,Shadows (Cienie) (1988),Drama
142,143,Gospa (1995),Drama
143,144,"Brothers McMullen, The (1995)",Comedy
144,145,Bad Boys (1995),Action
145,146,"Amazing Panda Adventure, The (1995)",Adventure|Children's
146,147,"Basketball Diaries, The (1995)",Drama
147,148,"Awfully Big Adventure, An (1995)",Drama
148,149,Amateur (1994),Crime|Drama|Thriller
149,150,Apollo 13 (1995),Drama
150,151,Rob Roy (1995),Drama|Romance|War
151,152,"Addiction, The (1995)",Horror
152,153,Batman Forever (1995),Action|Adventure|Comedy|Crime
153,154,Belle de jour (1967),Drama
154,155,Beyond Rangoon (1995),Drama|War
155,156,Blue in the Face (1995),Comedy
156,157,Canadian Bacon (1994),Comedy|War
157,158,Casper (1995),Adventure|Children's
158,159,Clockers (1995),Drama
159,160,Congo (1995),Action|Adventure|Mystery|Sci-Fi
160,161,Crimson Tide (1995),Drama|Thriller|War
161,162,Crumb (1994),Documentary
162,163,Desperado (1995),Action|Romance|Thriller
163,164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller
164,165,Die Hard,
165,166,"Doom Generation, The (1995)",Comedy|Drama
166,167,Feast of July (1995),Drama
167,168,First Knight (1995),Action|Adventure|Drama|Romance
168,169,Free Willy 2,
169,170,Hackers (1995),Action|Crime|Thriller
170,171,Jeffrey (1995),Comedy
171,172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller
172,173,Judge Dredd (1995),Action|Adventure|Sci-Fi
173,174,Jury Duty (1995),Comedy
174,175,Kids (1995),Drama
175,176,Living in Oblivion (1995),Comedy
176,177,Lord of Illusions (1995),Horror
177,178,Love & Human Remains (1993),Comedy
178,179,Mad Love (1995),Drama|Romance
179,180,Mallrats (1995),Comedy
180,181,Mighty Morphin Power Rangers,
181,182,Moonlight and Valentino (1995),Drama|Romance
182,183,Mute Witness (1994),Thriller
183,184,Nadja (1994),Drama
184,185,"Net, The (1995)",Sci-Fi|Thriller
185,186,Nine Months (1995),Comedy
186,187,Party Girl (1995),Comedy
187,188,"Prophecy, The (1995)",Horror
188,189,Reckless (1995),Comedy
189,190,Safe (1995),Thriller
190,191,"Scarlet Letter, The (1995)",Drama
191,192,"Show, The (1995)",Documentary
192,193,Showgirls (1995),Drama
193,194,Smoke (1995),Drama
194,195,Something to Talk About (1995),Comedy|Drama|Romance
195,196,Species (1995),Horror|Sci-Fi
196,197,"Stars Fell on Henrietta, The (1995)",Drama
197,198,Strange Days (1995),Action|Crime|Sci-Fi
198,199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical
199,200,"Tie That Binds, The (1995)",Thriller
200,201,Three Wishes (1995),Drama
201,202,Total Eclipse (1995),Drama|Romance
202,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
203,204,Under Siege 2,
204,205,Unstrung Heroes (1995),Comedy|Drama
205,206,Unzipped (1995),Documentary
206,207,"Walk in the Clouds, A (1995)",Drama|Romance
207,208,Waterworld (1995),Action|Adventure
208,209,White Man's Burden (1995),Drama
209,210,Wild Bill (1995),Western
210,211,"Browning Version, The (1994)",Drama
211,212,Bushwhacked (1995),Comedy
212,213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama
213,214,Before the Rain (Pred dozhdot) (1994),Drama
214,215,Before Sunrise (1995),Drama|Romance
215,216,Billy Madison (1995),Comedy
216,217,"Babysitter, The (1995)",Drama|Thriller
217,218,Boys on the Side (1995),Comedy|Drama
218,219,"Cure, The (1995)",Drama
219,220,Castle Freak (1995),Horror
220,222,Circle of Friends (1995),Drama|Romance
221,223,Clerks (1994),Comedy
222,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
223,225,Disclosure (1994),Drama|Thriller
224,226,Dream Man (1995),Thriller
225,227,Drop Zone (1994),Action
226,228,Destiny Turns on the Radio (1995),Comedy
227,229,Death and the Maiden (1994),Drama|Thriller
228,230,Dolores Claiborne (1994),Drama|Thriller
229,231,Dumb & Dumber (1994),Comedy
230,232,Eat Drink Man Woman (1994),Comedy|Drama
231,233,Exotica (1994),Drama
232,234,Exit to Eden (1994),Comedy
233,235,Ed Wood (1994),Comedy|Drama
234,236,French Kiss (1995),Comedy|Romance
235,237,Forget Paris (1995),Comedy|Romance
236,238,Far From Home,
237,239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance
238,240,Hideaway (1995),Thriller
239,241,Fluke (1995),Children's|Drama
240,242,Farinelli,
241,243,Gordy (1995),Comedy
242,244,Gumby,
243,245,"Glass Shield, The (1994)",Crime|Drama
244,246,Hoop Dreams (1994),Documentary
245,247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller
246,248,Houseguest (1994),Comedy
247,249,Immortal Beloved (1994),Drama|Romance
248,250,Heavyweights (1994),Children's|Comedy
249,251,"Hunted, The (1995)",Action
250,252,I.Q. (1994),Comedy|Romance
251,253,Interview with the Vampire (1994),Drama|Horror
252,254,Jefferson in Paris (1995),Drama
253,255,"Jerky Boys, The (1994)",Comedy
254,256,Junior (1994),Comedy|Sci-Fi
255,257,Just Cause (1995),Mystery|Thriller
256,258,"Kid in King Arthur's Court, A (1995)",Adventure|Children's|Comedy|Fantasy|Romance
257,259,Kiss of Death (1995),Crime|Drama|Thriller
258,260,Star Wars,
259,261,Little Women (1994),Drama
260,262,"Little Princess, A (1995)",Children's|Drama
261,263,Ladybird Ladybird (1994),Drama
262,264,"Enfer, L' (1994)",Drama
263,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
264,266,Legends of the Fall (1994),Drama|Romance|War|Western
265,267,Major Payne (1994),Comedy
266,268,Little Odessa (1994),Drama
267,269,My Crazy Life (Mi vida loca) (1993),Drama
